Date,Month,Accion,EV / Free Cashflow,EV / EBITDA,EV / Revenue,Total Liabilities / Total Assets,Long Term Liabilities / Total Assets,ROIC,Total Current Liabilities / Total Liabilities,ROE,PER,Sector,Year
2005-09-30,9,NWL,16.271554817847807,31.10602074864923,3.800018544750063,0.7194222294760894,0.4757630161579892,0.03733596881348487,0.3386873567912158,0.04159153045198069,27.323080690787783,Consumer Defensive,2005
2005-06-30,6,NWL,436.7398952907986,31.14626828539768,3.8073024579786785,0.719733705925865,0.48054573847291854,0.035124495117337284,0.332328422975905,0.03882697947214076,29.75152085827243,Consumer Defensive,2005
2005-03-31,3,NWL,170.7352596565529,74.15311545405247,4.058266020741189,0.7262748937917529,0.4686744894897266,0.00530619568839558,0.3546871942070585,0.021117009000692362,35.55943353987647,Consumer Defensive,2005
2004-12-31,12,NWL,27.425619221860916,25.57547824260839,6.119335863934575,0.7353752924941501,0.4546859062818744,0.04856290811866933,0.38169542691633007,0.07040018138533047,20.19185970012958,Consumer Defensive,2004
2004-09-30,9,NWL,20.525664592826647,-44.38397247924296,3.2878030560396474,0.7537243384000485,0.45791194816205416,-0.044153471376370275,0.39246761072612235,-0.1391774758713961,-17.859177588851864,Consumer Defensive,2004
2004-06-30,6,NWL,55.01182230760744,36.6523749594821,3.636218101186624,0.7232062225070645,0.44620852390246746,0.02437165085984619,0.38301343376769853,0.03210019470609904,29.432796792423026,Consumer Defensive,2004
2004-03-31,3,NWL,-144.86893780292047,189.51132951258174,4.207690506349917,0.7348184314922186,0.4782783588093323,-0.005842791088692727,0.3491203563877982,-0.039177738257139876,-199.22238412014266,Consumer Defensive,2004
2003-12-31,12,NWL,20.3322302657338,-51.22355154342011,3.9509998921875766,0.7304664002031895,0.46017083962730765,-0.03392030821415858,0.3700314764658517,-0.10494470068938154,-21.690524276118282,Consumer Defensive,2003
2003-09-30,9,NWL,25.7243036176678,26.394955853510165,3.2789523551755155,0.7080116981084711,0.43221498412220255,0.030719115949200067,0.3895369451141682,0.03232601126251988,23.632881422494243,Consumer Defensive,2003
2003-06-30,6,NWL,1175.8878668400278,32.13116414663547,3.733393216168974,0.7142083763964762,0.424122742260938,0.029470569417786308,0.40616386438809254,0.03177199931117616,30.64555095954424,Consumer Defensive,2003
2003-03-31,3,NWL,-126.27534412478137,50.5677099952582,4.271590368686038,0.7136375939268176,0.42003170634255743,0.014891771315267678,0.4114215535769113,0.007201368259969394,54.747769815142156,Consumer Defensive,2003
2002-12-31,12,NWL,29.876000602630395,34.67164975220517,6.978861067923296,0.7213143536275728,0.36822700016206583,0.034784769240325496,0.4895055140519389,0.046425975284710444,27.558769344028672,Consumer Defensive,2002
2002-09-30,9,NWL,35.658637472771446,30.83141348480239,3.4134044493516784,0.7230775469377272,0.39565564131331016,0.03216492076282568,0.45281713837065846,0.037194318348220824,31.983642393589374,Consumer Defensive,2002
2002-06-30,6,NWL,65.866340411212,30.211420601836906,3.8581339238229715,0.7261546659774215,0.43284103849643607,0.03585453228902259,0.4039272089316926,0.043736650078661794,32.99269375013498,Consumer Defensive,2002
2002-03-31,3,NWL,74.68603818119468,-18.747365939272605,4.045298874560639,0.7147728352314914,0.38034887541624635,-0.10255655648589437,0.467874467706843,-0.24609796820668833,-10.594667408513088,Consumer Defensive,2002
2001-12-31,12,NWL,26.34843057295353,27.415615610126228,3.2605471640856623,0.6651023244931944,0.31637329516521934,0.0304664154865532,0.5243238769218036,0.029053998520588476,29.234997893094825,Consumer Defensive,2001
2001-09-30,9,NWL,33.96209774617977,21.293407022593204,3.0088289968410975,0.6655134645947683,0.3215088261402925,0.034484200188315564,0.5169010948019519,0.03454435785141541,21.675054839192118,Consumer Defensive,2001
2001-06-30,6,NWL,33.36861555408784,24.860087717304722,3.3116839808934846,0.6727588606091918,0.44157671000973525,0.03151861198923901,0.3436330075089878,0.030558547455781414,25.875719418294025,Consumer Defensive,2001
2001-03-31,3,NWL,93.20798827211064,31.91296560538572,3.7219865984631597,0.6729447432443574,0.45722720284080104,0.02059328145937442,0.3205575830246522,0.01638861767186166,36.73780443427586,Consumer Defensive,2001
2000-12-31,12,NWL,20.858132928770463,21.132507914895232,3.107586321344292,0.6628063882013131,0.4492476753433194,0.03788372679460609,0.3222037636624737,0.03853811154840583,19.63462634790746,Consumer Defensive,2000
2000-09-30,9,NWL,50.86519014588079,16.928013454838506,2.899773296384193,0.649697548570176,0.43754419220190294,0.05135213284347051,0.32654172212157834,0.05172289088736176,16.371972422152744,Consumer Defensive,2000
2000-06-30,6,NWL,107.18364396735969,17.213207286514066,3.074754032172313,0.6563804054782308,0.43189803141206173,0.05312891719404225,0.3420004195625156,0.05463106163027298,17.82895163431507,Consumer Defensive,2000
2000-03-31,3,NWL,-50.549797638589325,23.64543222044602,3.3221171887401977,0.6551611054107914,0.42189743377795824,0.03381059260757491,0.3560401704349877,0.03309840500601434,24.182869602357513,Consumer Defensive,2000
1999-12-31,12,NWL,26.547114329687467,25.317586875724555,2.7406473240211526,0.5989038216037624,0.3565091652578015,0.03298190297283375,0.4047305220007936,0.02656464242200425,30.078443263225385,Consumer Defensive,1999
1999-09-30,9,NWL,24.249572735789013,25.606512574221757,3.2168034255672002,0.5723171741937655,0.34774044153857436,0.03538794374103138,0.39239908005828555,0.026999999628799648,29.15782619794788,Consumer Defensive,1999
1999-06-30,6,NWL,69.90696080785045,52.73975793019486,4.785431552977556,0.5747626165279041,0.3769325675428681,0.01737534468997114,0.3441943565851791,0.0112037069828388,70.40343233600399,Consumer Defensive,1999
1999-03-31,3,NWL,-44.74784172146404,193.61365375340273,5.143516926626959,0.5672360658850578,0.3917644319222805,-0.006919093499014015,0.3093449879442859,-0.029275890591276714,-276.9156324096412,Consumer Defensive,1999
1998-12-31,12,NWL,34.06208278000103,35.66789287338345,3.4280299238365792,0.5478355995360267,0.3615019823807809,0.03087788862996122,0.34012688717756867,0.02247891151486849,45.60216765283887,Consumer Defensive,1998
